id,category,percent
dhj6ye,108,100.0
dhj7t8,37,49.68103722603133
dhj7t8,39,50.318962773968664
dhj7q6,97,100.0
dhj7kw,11,100.0
dhj75r,4,100.0
dhj7pg,90,38.39618054104496
dhj7pg,91,26.590088157934538
dhj7pg,92,35.013731301020506
dhj6ue,114,69.22075155500796
dhj6ue,117,30.779248444992042
dhj77b,6,71.83259527458188
dhj77b,130,28.167404725418116
dhj7x6,77,32.49223268106936
dhj7x6,78,67.50776731893063
dhj7ky,20,32.66906895514853
dhj7ky,21,67.33093104485147
dhj7hu,110,100.0
dhj77u,5,59.658834585947126
dhj77u,7,40.341165414052874
dhj7hg,110,100.0
dhj6vh,116,77.19247957409294
dhj6vh,117,22.807520425907054
dhj7pq,89,100.0
dhj7kx,11,100.0
dhj7k1,123,57.777101886740645
dhj7k1,124,42.22289811325935
dhj7ks,11,51.10895415713615
dhj7ks,121,48.89104584286386
dhj75y,129,24.69405996406599
dhj75y,130,36.3430586296065
dhj75y,132,38.962881406327504
dhj7qc,86,50.70315314107958
dhj7qc,88,49.29684685892042
dhj7jp,109,63.56028263014599
dhj7jp,110,36.43971736985401
dhj7mu,49,28.438715022545914
dhj7mu,50,25.240321034950945
dhj7mu,52,22.840569194484527
dhj7mu,53,23.480394748018615
dhj6vh,116,100.0
dhj6v7,116,35.08222391852134
dhj6v7,118,64.91777608147865
dhj7tf,33,57.21694429941964
dhj7tf,34,42.783055700580356
dhj6wj,119,45.37077212761398
dhj6wj,120,54.62922787238601
dhj7mj,40,34.09032957226128
dhj7mj,41,29.91854252944963
dhj7mj,42,35.991127898289086
dhj7mv,49,57.95163683505936
dhj7mv,52,42.048363164940646
dhj7km,8,28.394747506564343
dhj7km,11,71.60525249343567
dhj71t,1,100.0
dhj75k,131,100.0
dhj75d,132,100.0
dhje2g,80,100.0
dhj6g5,134,100.0
dhj6v7,116,34.61284533019297
dhj6v7,118,65.38715466980702
dhj6tm,120,100.0
dhj7hb,112,69.44247569237372
dhj7hb,114,30.55752430762627
dhj74v,4,76.368161010755
dhj74v,133,23.631838989244986
dhj7x2,78,50.10850942431514
dhj7x2,80,49.89149057568486
dhj6vw,113,100.0
dhjdbp,92,100.0
dhj7sv,13,66.92585652915565
dhj7sv,14,33.074143470844334
dhj7pp,88,60.366206109052165
dhj7pp,89,39.633793890947835
dhj7wf,74,58.64598830266756
dhj7wf,76,41.35401169733243
dhjef6,68,24.346334872832003
dhjef6,69,75.653665127168
dhj7nr,101,100.0
dhj7jz,95,30.65491216179869
dhj7jz,99,35.48993845218965
dhj7jz,100,33.855149386011675
dhj7sc,12,100.0
dhj7jn,109,28.104870591351784
dhj7jn,110,29.924272425356076
dhj7jn,111,41.970856983292144
dhj6uy,116,100.0
dhjee0,72,100.0
dhj7t7,16,100.0
dhj7t6,16,46.12544065913821
dhj7t6,18,53.87455934086181
dhj7mt,46,58.75557245500344
dhj7mt,51,41.24442754499656
dhj7kd,121,71.52951647139305
dhj7kd,125,28.470483528606948
dhj6v3,118,100.0
dhjed6,72,100.0
dhj7zb,65,24.602660244187376
dhj7zb,66,75.39733975581262
dhje0f,93,100.0
dhj750,133,32.05321573405324
dhj750,134,67.94678426594676
dhj7tu,24,36.90510050971111
dhj7tu,30,30.370751787337348
dhj7tu,31,32.72414770295155
dhj6ux,114,100.0
dhj7md,54,100.0
dhj7hp,127,100.0
dhj75m,131,100.0
dhj7ps,90,49.66120960355684
dhj7ps,91,50.338790396443166
dhj6ut,114,100.0
dhj6gm,115,50.66624734360696
dhj6gm,134,49.33375265639303
dhje0n,80,25.191317539870017
dhje0n,92,74.80868246012997
dhje02,92,42.62528579370457
dhje02,93,57.374714206295444
dhje0f,93,100.0
dhj7mp,18,33.368976014439696
dhj7mp,19,30.593874247275508
dhj7mp,40,36.0371497382848
dhj7tk,14,55.806955227641616
dhj7tk,16,44.19304477235837
dhj6tr,118,23.497599221953546
dhj6tr,120,76.50240077804646
dhj7z1,62,48.5329998176141
dhj7z1,63,51.4670001823859
dhj6tm,120,100.0
dhj7sb,20,100.0
dhj7k9,121,40.18893659290185
dhj7k9,125,59.81106340709815
dhj6ud,114,25.069338180662204
dhj6ud,117,74.9306618193378
dhj7mw,39,36.60843152593836
dhj7mw,46,63.391568474061636
dhj7qs,83,30.134834432546757
dhj7qs,84,33.73630205743013
dhj7qs,85,36.128863510023116
dhj7jj,110,29.69137736697324
dhj7jj,111,70.30862263302677
dhj7x0,73,35.42103667496582
dhj7x0,80,64.57896332503418
dhj773,3,75.32795508658587
dhj773,4,24.67204491341413
dhj6fy,134,100.0
dhj6ux,114,100.0
dhj6g2,115,100.0
dhj7qu,85,31.456940084816786
dhj7qu,87,68.5430599151832
dhj7he,114,40.20697152222127
dhj7he,128,59.79302847777874
dhj7xw,66,62.78447608223773
dhj7xw,67,37.21552391776227
dhje0n,90,26.943913026031392
